employee_id,email,name,temporary_password
EMP-001,employee001@jachinsgroup.com,"Employee 001",cXgXTyX67w$H
EMP-002,employee002@jachinsgroup.com,"Employee 002",gk!#@syXPgGj
EMP-003,employee003@jachinsgroup.com,"Employee 003",b8ck4A62V9Ty
EMP-004,employee004@jachinsgroup.com,"Employee 004",Q%EN9sXnqpHT
EMP-005,employee005@jachinsgroup.com,"Employee 005",jR$dfNJ!tq@3
EMP-006,employee006@jachinsgroup.com,"Employee 006",st@vaZSb4xg%
EMP-007,employee007@jachinsgroup.com,"Employee 007",7dv9FUzrpdS8
EMP-008,employee008@jachinsgroup.com,"Employee 008",HqbbC5EUq@rw
EMP-009,employee009@jachinsgroup.com,"Employee 009",4bbmy8sydB3P
EMP-010,employee010@jachinsgroup.com,"Employee 010",GrH@#W83AX%#
EMP-011,employee011@jachinsgroup.com,"Employee 011",E7DcCHQvqewq
EMP-012,employee012@jachinsgroup.com,"Employee 012",nX8r8!Y#rbKy
EMP-013,employee013@jachinsgroup.com,"Employee 013",kvdxvez7nYaG
EMP-014,employee014@jachinsgroup.com,"Employee 014",YAxB$AZhPHJt
EMP-015,employee015@jachinsgroup.com,"Employee 015",%RemkVcs56k!
EMP-016,employee016@jachinsgroup.com,"Employee 016",j!!CkVXK7p6w
EMP-017,employee017@jachinsgroup.com,"Employee 017",bEH6NNVbQw3B
EMP-018,employee018@jachinsgroup.com,"Employee 018",#mjYdJz%JZSE
EMP-019,employee019@jachinsgroup.com,"Employee 019",6JArrhmHKhKu
EMP-020,employee020@jachinsgroup.com,"Employee 020",YjE$EQKpruCf
